技能名,翻译
雪仇,Reprisal
铁壁,Rampart
暗影墙,Vengeance
复仇,Vengeance
预警,Vengeance
星云,Vengeance
摆脱,ShakeItOff
战栗,TrillOfBattle
原初的血气,Bloodwhetting
原初的勇猛,NascentFlash
泰然自若,Equilibrium
死斗,Holmgang
武装戍卫,PassageOfArms
圣光幕帘,DivineVeil
壁垒,Bulwark
干预,Intervention
圣盾阵,HolySheltron
神圣领域,HallowedGround
伪装,Camouflage
光之心,HeartOfLight
刚玉之心,HeartOfCorundum
极光,Aurora
超火流星,Superbolide
暗黑布道,DarkMissionary
弃明投暗,DarkMind
献奉,Oblation
至黑之夜,TheBlackestNight
行尸走肉,LivingDead
策动,Tactician
行吟,Tactician
防守之桑巴,Tactician
大地神的抒情恋歌,NaturesMinne
即兴表演,Improvisation
治疗之华尔兹,CuringWaltz
武装解除,Dismantle
牵制,Feint
内丹,SecondWind
金刚极意,RiddleOfEarth
真言,Mantra
心眼,ThirdEye
昏乱,Addle
抗死,MagickBarrier
赤治疗,Vercure
不死鸟之翼,EverlastingFlight
苏生之炎,Rekindle
秘策,Recitation
转化,Dissipation
展开战术,DeploymentTactics
应急战术,EmergencyTactics
医术,Physick
鼓舞激励之策,Adloquium
生命活性法,Lustrate
深谋远虑之策,Excogitation
以太契约,Aetherpact
生命回生法,Protraction
仙光的低语,WhisperingDawn
士气高扬之策,Succor
异想的祥光,FeyBlessing
野战治疗阵,SacredSoil
不屈不挠之策,Indomitability
异想的幻光,FeyIllumination
慰藉,Consolation
疾风怒涛之计,Expedient
治疗,Cure
救疗,CureII
再生,Regen
天赐祝福,Benediction
安慰之心,AfflatusSolace
神名,Tetragrammaton
水流幕,DivineBenison
神祝祷,Aquaveil
医治,Medica
狂喜之心,AfflatusRapture
医济,MedicaII
庇护所,Asylum
愈疗,CureIII
法令,Assize
节制,Temperance
礼仪之铃,LiturgyOfTheBell
全大赦,PlenaryIndulgence
魔罩,Manaward
残影,ShadeShift
神秘纹,ArcaneCrest
诊断,Dignosis
预后,Prognosis
均衡诊断,EkurasianDignosis
均衡预后,EkurasianPrognosis
自生||,PhysisII
灵橡清汁,Druochole
尖角清汁,Kerachole
寄生清汁,Ixochole
活化,Zoe
白牛清汁,Taurochole
整体论,Holos
混合,Krasis
魂灵风息,Pneuma
输血,Haima
范输血,Panhaima
消化,Pepsis
